race_id,horse,jockey,horse_number,finishing_time,odds,passing_order,rank,weight,weight_change,sex,age,handicap_weight,last_spurt,popularity,race_name,date,meeting,class,turf_or_dirt,distance,course_type,track_condition,weather,venue_id,venue_name
201608050606,ダイメイフジ,幸英明,5,1:10.4,5.9,1-1,2,518,0,牡,2,55.0,34.7,8.0,2歳新馬,2016年11月20日,5回京都6日目,2歳新馬,芝,1200,右,良,曇,7,京都
201609050603,ダイメイフジ,幸英明,4,1:11.0,6.7,11-12,1,514,-4,牡,2,55.0,35.1,3.0,2歳未勝利,2016年12月18日,5回阪神6日目,2歳未勝利,芝,1200,右,良,晴,8,阪神
201706050812,ダイメイフジ,ムーア,13,1:09.0,2.9,14-12,1,510,0,牡,3,56.0,34.2,3.0,クリスマスカップ ,2017年12月24日,5回中山8日目,3歳以上1000万下,芝,1200,右,良,晴,5,中山
201707010310,ダイメイフジ,幸英明,9,1:22.8,7.5,4-3,3,526,12,牡,3,56.0,35.4,7.0,なずな賞 ,2017年1月21日,1回中京3日目,3歳500万下,芝,1400,左,良,晴,6,中京
201707030812,ダイメイフジ,幸英明,14,1:22.4,3.2,5-7,6,498,-14,牡,3,54.0,34.9,6.0,3歳以上500万下,2017年7月23日,3回中京8日目,3歳以上500万下,芝,1400,左,良,小,6,中京
201707040312,ダイメイフジ,松山弘平,9,1:21.3,3.6,2-3,1,510,12,牡,3,56.0,34.4,6.0,犬山特別 ,2017年12月9日,4回中京3日目,3歳以上500万下,芝,1400,左,良,晴,6,中京
201708020609,ダイメイフジ,幸英明,3,1:36.3,12.9,6-5,2,520,-6,牡,3,56.0,34.9,7.0,こぶし賞 ,2017年2月12日,2回京都6日目,3歳500万下,芝,1600,右,稍,晴,7,京都
201708030110,ダイメイフジ,幸英明,10,1:21.3,26.6,3-3,2,508,-8,牡,3,56.0,34.8,1.0,橘ステークス ,2017年4月22日,3回京都1日目,3歳オープン,芝,1400,右,良,晴,7,京都
201708031211,ダイメイフジ,幸英明,1,1:33.9,3.8,11-10,2,516,8,牡,3,56.0,33.9,8.0,白藤賞 ,2017年5月28日,3回京都12日目,3歳500万下,芝,1600,右,良,晴,7,京都
201709010407,ダイメイフジ,幸英明,3,1:22.4,4.3,2-2,4,516,-4,牡,3,56.0,35.0,8.0,3歳500万下,2017年3月5日,1回阪神4日目,3歳500万下,芝,1400,右,良,晴,8,阪神
201709030710,ダイメイフジ,幸英明,2,1:20.9,4.4,6-6,2,512,-4,牡,3,54.0,33.6,2.0,出石特別 ,2017年6月24日,3回阪神7日目,3歳以上500万下,芝,1400,右,良,晴,8,阪神
201805020711,ダイメイフジ,松山弘平,13,1:20.8,19.0,13-15,17,512,2,牡,4,56.0,34.0,9.0,第63回京王杯スプリングC(G2),2018年5月12日,2回東京7日目,4歳以上オープン,芝,1400,左,良,晴,4,東京
201806020311,ダイメイフジ,Ｍ．デム,10,1:08.4,5.0,12-12,3,510,-8,牡,4,56.0,33.7,1.0,第13回夕刊フジオーシャンS(G3),2018年3月3日,2回中山3日目,4歳以上オープン,芝,1200,右,良,晴,5,中山
201806050211,ダイメイフジ,北村宏司,4,1:08.1,8.0,5-5,1,508,-10,牡,4,56.0,33.6,4.0,ラピスラズリS ,2018年12月2日,5回中山2日目,3歳以上オープン,芝,1200,右,良,曇,5,中山
201807030211,ダイメイフジ,Ｍ．デム,12,1:07.6,3.7,14-14,11,508,-4,牡,4,56.0,33.3,1.0,第54回CBC賞(G3),2018年7月1日,3回中京2日目,3歳以上オープン,芝,1200,左,良,晴,6,中京
201807030811,ダイメイフジ,酒井学,9,1:33.8,26.3,7-7-9,11,514,6,牡,4,56.0,35.9,11.0,第66回トヨタ賞中京記念(G3),2018年7月22日,3回中京8日目,3歳以上オープン,芝,1600,左,良,晴,6,中京
201808010711,ダイメイフジ,浜中俊,11,1:24.1,3.9,8-8,11,510,0,牡,4,55.0,35.2,2.0,石清水ステークス ,2018年1月21日,1回京都7日目,4歳以上1600万下,芝,1400,右,良,曇,7,京都
201808020409,ダイメイフジ,幸英明,10,1:09.5,4.8,3-3,2,514,4,牡,4,55.0,34.2,3.0,山城ステークス ,2018年2月4日,2回京都4日目,4歳以上1600万下,芝,1200,右,良,晴,7,京都
201808020810,ダイメイフジ,松山弘平,7,1:22.0,4.5,2-1,1,518,4,牡,4,57.0,34.4,3.0,斑鳩ステークス ,2018年2月18日,2回京都8日目,4歳以上1600万下,芝,1400,右,良,晴,7,京都
201808031210,ダイメイフジ,酒井学,2,1:20.7,11.4,10-10,1,512,0,牡,4,55.0,33.0,3.0,安土城ステークス ,2018年5月27日,3回京都12日目,4歳以上オープン,芝,1400,右,良,晴,7,京都
201808050812,ダイメイフジ,秋山真一,11,1:08.7,21.1,7-12,13,518,4,牡,4,56.0,33.8,9.0,第63回京阪杯(G3),2018年11月25日,5回京都8日目,3歳以上オープン,芝,1200,右,良,晴,7,京都
201809050711,ダイメイフジ,酒井学,1,1:21.7,37.9,7-5,4,524,16,牡,4,57.0,34.9,10.0,第13回阪神カップ(G2),2018年12月22日,5回阪神7日目,3歳以上オープン,芝,1400,右,稍,曇,8,阪神
201901010411,ダイメイフジ,松岡正海,1,1:08.1,10.2,4-4,3,524,10,牡,5,56.0,34.2,4.0,UHB賞 ,2019年8月4日,1回札幌4日目,3歳以上オープン,芝,1200,右,良,晴,0,札幌
201901020411,ダイメイフジ,オールプ,12,1:11.0,55.9,4-5,14,524,0,牡,5,56.0,37.4,2.0,第14回キーンランドカップ(G3),2019年8月25日,2回札幌4日目,3歳以上オープン,芝,1200,右,稍,晴,0,札幌
201902010211,ダイメイフジ,松岡正海,7,1:08.7,7.4,3-3,4,514,6,牡,5,56.0,33.8,2.0,第26回函館スプリントS(G3),2019年6月16日,1回函館2日目,3歳以上オープン,芝,1200,右,稍,小,1,函館
