frame,horse_number,mark,horse_name,sex_age,handicap_weight,jockey,stable,weight_change,odds,popularity
1,1,--,ダイメイフジ,牡10,59.0,酒井,栗東森田,536(+8),228.1,17
1,2,--,サトノラムセス,牡6,57.0,池添,栗東橋口,482(-4),103.8,15
2,3,--,ボンボヤージ,牝7,57.0,岩田康,栗東梅田,450(-4),16.1,7
2,4,--,キャプテンドレイク,牡7,57.0,松山,栗東今野,502(+6),19.3,8
3,5,--,カワキタレブリー,牡5,57.0,長岡,栗東杉山佳,444(+8),45.1,14
3,6,--,ゾンニッヒ,牡6,58.0,武豊,栗東池江,486(+18),4.6,2
4,7,--,ビッグシーザー,牡4,58.0,坂井,栗東西園正,516(+2),3.2,1
4,8,--,ロードベイリーフ,牡7,57.0,団野,栗東森田,506(+6),37.9,11
5,9,--,クリノマジン,牡5,57.0,和田竜,栗東高橋忠,462(+6),37.5,10
5,10,--,レッドベルオーブ,牡6,58.0,北村友,栗東藤原,496(+8),32.9,9
6,11,--,メイショウソラフネ,牡5,57.0,角田河,栗東石橋,448(0),13.6,6
6,12,--,ホウオウノーサイド,牡5,57.0,浜中,美浦斎藤誠,480(-4),38.6,12
7,13,--,メディーヴァル,牡6,57.0,Ａルメート,栗東寺島,480(+8),205.4,16
7,14,--,エクセトラ,牡5,57.0,岩田望,栗東吉村,520(-6),5.1,3
8,15,--,ショウナンハクラク,牡5,57.0,松若,栗東松下,476(0),12.4,5
8,16,--,カルネアサーダ,牝5,56.0,川須,栗東加用,466(+2),11.7,4
8,17,--,スコールユニバンス,牝5,55.0,田口,栗東矢作,460(+2),41.4,13
